bins,values
7.775919732441473e-05,0.0
7.809364548494983e-05,2.0
7.842809364548496e-05,2.0
7.876254180602007e-05,1.0
7.909698996655517e-05,1.0
7.94314381270903e-05,2.0
7.976588628762541e-05,-5.0
8.010033444816054e-05,10.0
8.043478260869565e-05,8.0
8.076923076923078e-05,1.0
8.110367892976588e-05,3.0
8.143812709030101e-05,5.0
8.177257525083612e-05,-3.0
8.210702341137125e-05,2.0
8.244147157190635e-05,-1.0
8.277591973244149e-05,4.0
8.311036789297659e-05,1.0
8.344481605351171e-05,3.0
8.377926421404683e-05,0.0
8.411371237458193e-05,1.0
8.444816053511706e-05,5.0
8.478260869565217e-05,0.0
8.51170568561873e-05,-4.0
8.54515050167224e-05,3.0
8.578595317725753e-05,2.0
8.612040133779264e-05,-1.0
8.645484949832777e-05,-1.0
8.678929765886287e-05,-3.0
8.7123745819398e-05,7.0
8.745819397993311e-05,-2.0
8.779264214046823e-05,0.0
8.812709030100335e-05,1.0
8.846153846153845e-05,2.0
8.879598662207358e-05,1.0
8.913043478260869e-05,5.0
8.946488294314382e-05,1.0
8.979933110367892e-05,2.0
9.013377926421406e-05,3.0
9.046822742474916e-05,-8.0
9.080267558528429e-05,1.0
9.11371237458194e-05,-3.0
9.147157190635453e-05,2.0
9.180602006688963e-05,-5.0
9.214046822742476e-05,-3.0
9.247491638795987e-05,-3.0
9.280936454849497e-05,-2.0
9.31438127090301e-05,0.0
9.347826086956521e-05,-1.0
9.381270903010034e-05,2.0
9.414715719063545e-05,-3.0
9.448160535117058e-05,2.0
9.481605351170568e-05,-1.0
9.515050167224081e-05,-1.0
9.548494983277592e-05,2.0
9.581939799331105e-05,5.0
9.615384615384615e-05,-3.0
9.648829431438129e-05,-6.0
9.682274247491639e-05,-2.0
9.71571906354515e-05,-7.0
9.749163879598663e-05,-3.0
9.782608695652173e-05,-2.0
9.816053511705686e-05,-6.0
9.849498327759197e-05,2.0
9.88294314381271e-05,4.0
9.91638795986622e-05,-3.0
9.949832775919733e-05,0.0
9.983277591973244e-05,-3.0
